lat,lon,name,timestamp,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,delay,confidence,road_closure,speed_ratio,congestion_level,traffic_score
33.95177778,-84.52108333,North,2025-04-07T09:15:26.051261,53,60,85,75,10,1,False,0.8833333333333333,1,88
33.9423,-84.51568,North,2025-04-07T09:15:26.638996,38,49,103,79,24,1,False,0.7755102040816326,1,78
33.95177778,-84.52108333,North,2025-04-07T09:15:27.196295,53,60,85,75,10,1,False,0.8833333333333333,1,88
33.9423,-84.51568,North,2025-04-07T09:15:27.196836,38,49,103,79,24,1,False,0.7755102040816326,1,78
33.95177778,-84.52108333,North,2025-04-07T09:15:37.273219,53,60,85,75,10,1,False,0.8833333333333333,1,88
33.9423,-84.51568,North,2025-04-07T09:15:37.479916,38,49,103,79,24,1,False,0.7755102040816326,1,78
33.95177778,-84.52108333,North,2025-04-07T09:15:37.755763,53,60,85,75,10,1,False,0.8833333333333333,1,88
33.9423,-84.51568,North,2025-04-07T09:15:37.756322,38,49,103,79,24,1,False,0.7755102040816326,1,78
33.95030556,-84.52027778,South,2025-04-07T09:15:26.164970,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-04-07T09:15:26.734612,74,74,137,137,0,1,False,1.0,0,100
33.95030556,-84.52027778,South,2025-04-07T09:15:27.196329,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-04-07T09:15:27.196850,74,74,137,137,0,1,False,1.0,0,100
33.95030556,-84.52027778,South,2025-04-07T09:15:37.273269,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-04-07T09:15:37.479949,74,74,137,137,0,1,False,1.0,0,100
33.95030556,-84.52027778,South,2025-04-07T09:15:37.755791,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-04-07T09:15:37.756335,74,74,137,137,0,1,False,1.0,0,100
33.95091667,-84.51977778,East,2025-04-07T09:15:26.276807,29,44,84,55,29,1,False,0.6590909090909091,2,66
33.94178,-84.5147,East,2025-04-07T09:15:26.836231,51,51,19,19,0,1,False,1.0,0,100
33.95091667,-84.51977778,East,2025-04-07T09:15:27.196345,29,44,84,55,29,1,False,0.6590909090909091,2,66
33.94178,-84.5147,East,2025-04-07T09:15:27.196859,51,51,19,19,0,1,False,1.0,0,100
33.95091667,-84.51977778,East,2025-04-07T09:15:37.273296,29,44,84,55,29,1,False,0.6590909090909091,2,66
33.94178,-84.5147,East,2025-04-07T09:15:37.479966,51,51,19,19,0,1,False,1.0,0,100
33.95091667,-84.51977778,East,2025-04-07T09:15:37.755807,29,44,84,55,29,1,False,0.6590909090909091,2,66
33.94178,-84.5147,East,2025-04-07T09:15:37.756346,51,51,19,19,0,1,False,1.0,0,100
33.95097222,-84.52163889,West,2025-04-07T09:15:26.384583,45,45,110,110,0,1,False,1.0,0,100
33.94178,-84.5167,West,2025-04-07T09:15:26.942704,40,59,175,118,57,1,False,0.6779661016949152,2,68
33.95097222,-84.52163889,West,2025-04-07T09:15:27.196355,45,45,110,110,0,1,False,1.0,0,100
33.94178,-84.5167,West,2025-04-07T09:15:27.196867,40,59,175,118,57,1,False,0.6779661016949152,2,68
33.95097222,-84.52163889,West,2025-04-07T09:15:37.273319,45,45,110,110,0,1,False,1.0,0,100
33.94178,-84.5167,West,2025-04-07T09:15:37.479981,40,59,175,118,57,1,False,0.6779661016949152,2,68
33.95097222,-84.52163889,West,2025-04-07T09:15:37.755818,45,45,110,110,0,1,False,1.0,0,100
33.94178,-84.5167,West,2025-04-07T09:15:37.756356,40,59,175,118,57,1,False,0.6779661016949152,2,68
