lat,lon,name,timestamp,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,delay,confidence,road_closure,speed_ratio,congestion_level,traffic_score
33.95177778,-84.52108333,North,2025-03-28T15:26:45.287986,43,61,104,73,31,1,False,0.7049180327868853,1,70
33.9423,-84.51568,North,2025-03-28T15:26:46.520672,33,50,118,78,40,1,False,0.66,2,66
33.95177778,-84.52108333,North,2025-03-28T15:26:47.832010,43,61,104,73,31,1,False,0.7049180327868853,1,70
33.9423,-84.51568,North,2025-03-28T15:26:47.832010,33,50,118,78,40,1,False,0.66,2,66
33.95177778,-84.52108333,North,2025-03-28T15:27:37.904340,43,61,104,73,31,1,False,0.7049180327868853,1,70
33.9423,-84.51568,North,2025-03-28T15:27:38.263906,33,50,118,78,40,1,False,0.66,2,66
33.95177778,-84.52108333,North,2025-03-28T15:27:38.813474,43,61,104,73,31,1,False,0.7049180327868853,1,70
33.9423,-84.51568,North,2025-03-28T15:27:38.814927,33,50,118,78,40,1,False,0.66,2,66
33.95177778,-84.52108333,North,2025-03-28T15:28:29.235413,50,60,90,75,15,1,False,0.8333333333333334,1,83
33.9423,-84.51568,North,2025-03-28T15:28:30.383514,23,49,170,79,91,1,False,0.46938775510204084,3,47
33.95177778,-84.52108333,North,2025-03-28T15:28:31.528102,50,60,90,75,15,1,False,0.8333333333333334,1,83
33.9423,-84.51568,North,2025-03-28T15:28:31.528102,23,49,170,79,91,1,False,0.46938775510204084,3,47
33.95030556,-84.52027778,South,2025-03-28T15:26:45.523779,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-03-28T15:26:46.779457,59,73,172,139,33,1,False,0.8082191780821918,1,81
33.95030556,-84.52027778,South,2025-03-28T15:26:47.832010,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-03-28T15:26:47.832010,59,73,172,139,33,1,False,0.8082191780821918,1,81
33.95030556,-84.52027778,South,2025-03-28T15:27:37.904340,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-03-28T15:27:38.263906,59,73,172,139,33,1,False,0.8082191780821918,1,81
33.95030556,-84.52027778,South,2025-03-28T15:27:38.813474,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-03-28T15:27:38.814927,59,73,172,139,33,1,False,0.8082191780821918,1,81
33.95030556,-84.52027778,South,2025-03-28T15:28:29.462685,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-03-28T15:28:30.586868,59,73,172,139,33,1,False,0.8082191780821918,1,81
33.95030556,-84.52027778,South,2025-03-28T15:28:31.528102,7,7,68,68,0,1,False,1.0,0,100
33.94125,-84.51568,South,2025-03-28T15:28:31.528102,59,73,172,139,33,1,False,0.8082191780821918,1,81
33.95091667,-84.51977778,East,2025-03-28T15:26:45.746937,10,44,245,55,190,1,False,0.22727272727272727,4,23
33.94178,-84.5147,East,2025-03-28T15:26:47.098408,25,50,40,20,20,1,False,0.5,2,50
33.95091667,-84.51977778,East,2025-03-28T15:26:47.832010,10,44,245,55,190,1,False,0.22727272727272727,4,23
33.94178,-84.5147,East,2025-03-28T15:26:47.832010,25,50,40,20,20,1,False,0.5,2,50
33.95091667,-84.51977778,East,2025-03-28T15:27:37.904340,10,44,245,55,190,1,False,0.22727272727272727,4,23
33.94178,-84.5147,East,2025-03-28T15:27:38.263906,25,50,40,20,20,1,False,0.5,2,50
33.95091667,-84.51977778,East,2025-03-28T15:27:38.813474,10,44,245,55,190,1,False,0.22727272727272727,4,23
33.94178,-84.5147,East,2025-03-28T15:27:38.814927,25,50,40,20,20,1,False,0.5,2,50
33.95091667,-84.51977778,East,2025-03-28T15:28:29.690588,11,36,222,68,154,1,False,0.3055555555555556,3,31
33.94178,-84.5147,East,2025-03-28T15:28:30.795380,35,51,28,19,9,1,False,0.6862745098039216,2,69
33.95091667,-84.51977778,East,2025-03-28T15:28:31.528102,11,36,222,68,154,1,False,0.3055555555555556,3,31
33.94178,-84.5147,East,2025-03-28T15:28:31.528102,35,51,28,19,9,1,False,0.6862745098039216,2,69
33.95097222,-84.52163889,West,2025-03-28T15:26:46.040812,31,47,160,106,54,1,False,0.6595744680851063,2,66
33.94178,-84.5167,West,2025-03-28T15:26:47.311394,44,59,159,118,41,1,False,0.7457627118644068,1,75
33.95097222,-84.52163889,West,2025-03-28T15:26:47.832010,31,47,160,106,54,1,False,0.6595744680851063,2,66
33.94178,-84.5167,West,2025-03-28T15:26:47.832010,44,59,159,118,41,1,False,0.7457627118644068,1,75
33.95097222,-84.52163889,West,2025-03-28T15:27:37.904340,31,47,160,106,54,1,False,0.6595744680851063,2,66
33.94178,-84.5167,West,2025-03-28T15:27:38.263906,44,59,159,118,41,1,False,0.7457627118644068,1,75
33.95097222,-84.52163889,West,2025-03-28T15:27:38.813474,31,47,160,106,54,1,False,0.6595744680851063,2,66
33.94178,-84.5167,West,2025-03-28T15:27:38.814927,44,59,159,118,41,1,False,0.7457627118644068,1,75
33.95097222,-84.52163889,West,2025-03-28T15:28:29.898357,31,44,160,113,47,1,False,0.7045454545454546,1,70
33.94178,-84.5167,West,2025-03-28T15:28:31.008645,49,59,143,118,25,1,False,0.8305084745762712,1,83
33.95097222,-84.52163889,West,2025-03-28T15:28:31.528102,31,44,160,113,47,1,False,0.7045454545454546,1,70
33.94178,-84.5167,West,2025-03-28T15:28:31.528102,49,59,143,118,25,1,False,0.8305084745762712,1,83
